                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89421,                0.46359,                0.89918,                0.94547,                0.94762,                0.97381,                0.51572,                  1.688,                0.63033,                 1.2546,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.8831,                0.45818,                0.89279,                0.95777,                0.96409,                0.98705,                0.54191,                 1.6746,                0.60373,                  1.245,               0.001307,               0.001307,               0.001307
                     37,                0.87543,                0.44892,                0.89335,                0.97063,                0.96761,                0.98393,                0.53778,                 1.6492,                0.60411,                 1.2262,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86606,                0.45096,                0.89241,                0.95257,                0.97571,                0.98701,                0.54822,                 1.6012,                0.59518,                 1.2086,              0.0012674,              0.0012674,              0.0012674
                     39,                0.86642,                0.45029,                0.88912,                 0.9569,                0.97368,                0.98911,                0.54967,                 1.5905,                0.57087,                 1.1904,              0.0012476,              0.0012476,              0.0012476
                     40,                0.84516,                0.43666,                 0.8858,                0.95065,                0.97486,                0.98772,                0.54837,                 1.5962,                0.58803,                 1.1977,              0.0012278,              0.0012278,              0.0012278
                     41,                0.84764,                 0.4373,                0.88663,                0.95994,                0.97976,                0.98639,                0.56093,                 1.5961,                0.57662,                 1.1979,               0.001208,               0.001208,               0.001208
                     42,                0.81616,                  0.429,                0.88148,                0.95766,                0.96761,                0.98827,                0.54111,                 1.6004,                 0.5923,                 1.1991,              0.0011882,              0.0011882,              0.0011882
                     43,                0.83554,                0.43682,                0.88491,                0.95712,                0.96761,                0.98988,                0.53731,                 1.5924,                0.59972,                 1.1988,              0.0011684,              0.0011684,              0.0011684
                     44,                0.82587,                0.43403,                0.88327,                0.96332,                0.95681,                0.98989,                0.51924,                  1.677,                0.61113,                 1.2419,              0.0011486,              0.0011486,              0.0011486
                     45,                0.80505,                0.42341,                0.87837,                0.96012,                0.97481,                0.98989,                0.55258,                 1.5967,                0.58584,                 1.1979,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80849,                0.42341,                0.87689,                0.97539,                0.96286,                 0.9895,                0.55121,                 1.5936,                0.60171,                 1.1903,               0.001109,               0.001109,               0.001109
